,departamento,ingresos_operacionales_2018,ganancia_perdida_2018,total_activos_2018,total_pasivos_2018,total_patrimonio_2018,ingresos_operacionales_2017,ganancia_perdida_2017,total_activos_2017,total_pasivos_2017,total_patrimonio_2017,cuota_pago,estimacion_arriendo,precio_arriendo,nper,ingreso,npobres,nindigentes
0,ANTIOQUIA,95039786604.77,10159075341.05,229938200984.69,96345067210.56,133592624707.12,87135782733.93999,8681527336.730001,215593653318.29,87849362981.64,127744290336.66,203167000.0,2399137852.0,1133325700.0,12890.0,11883725587.5833,1707.0,351.0
1,ATLANTICO,40350349577.06,1421662019.37,62512372976.25,40476652489.16,22035720487.079998,35940332075.45,1410000309.3,56670439541.64,35551222830.91,21119216710.730003,38801000.0,1195209640.0,517881000.0,12831.0,8118458823.26515,2646.0,280.0
2,BOLIVAR,26132678043.859997,-286725699.41999996,42762714490.16,16895191331.75,25867523158.410004,19608723622.64,676096570.25,40668418767.869995,15782641620.37,24885777147.5,9105000.0,844543720.0,430984000.0,9469.0,5718521240.000001,2424.0,289.0
3,BOYACA,139872178.0,8900116.0,114804131.0,60061804.0,54742327.0,125016533.0,8296227.0,106230491.0,48302745.0,57927746.0,143423000.0,654600486.0,434530000.0,6354.0,5228363236.750004,1063.0,188.0
4,CALDAS,3416656278.0,68032404.0,1892116180.0,1044092602.0,848023578.0,3324219869.0,37407366.0,1750482277.0,968279081.0,782203196.0,144286000.0,1125243445.0,637725635.0,8282.0,7510098673.416674,929.0,171.0
6,CAUCA,5579318405.5,257373951.98,4506643305.43,2714466505.07,1792176800.36,5615667670.26,196723962.9,4245306179.9,2524105743.83,1721200436.06,61801000.0,856904465.0,430649242.0,8285.0,5180588311.916671,2422.0,601.0
7,CESAR,153520798.84,5537411.05,22317681.11,25281893.18,-2964212.07,135565353.85,10747392.49,11786492.21,20288115.32,-8501623.11,22819000.0,515322983.0,455829000.0,9026.0,4473773254.749999,3162.0,667.0
8,CHOCO,143910734.19,2214147.58,26520742.21,30713493.87,-4192751.67,122445726.58,2301800.79,19884339.54,32049417.77,-12165078.23,11668000.0,477610881.0,214848000.0,6458.0,3442803128.666668,2393.0,720.0
9,CORDOBA,1651994996.3899999,-302541581.4,745275835.22,1096166048.11,-350890212.89,1587458687.29,-440537899.8,693920746.92,658516654.42,35404092.499999985,18459000.0,762232164.0,295638000.0,8722.0,4913321579.916666,2321.0,330.0
10,CUNDINAMARCA,419239992585.4401,54364523974.99,562608275634.93,253074362509.39,309533913125.56,353080980596.13,31365695372.739998,510172434904.9,220190756490.56,289981269148.36005,273947000.0,1917244058.0,978110500.0,10273.0,11159150375.166666,1115.0,224.0
12,HUILA,985209063.95,-43647356.13,440353195.51,500910388.77,-60557193.25999999,758422101.77,-41119990.31,364972460.29,405646896.78,-40674436.49000001,86817000.0,726298728.0,427220000.0,8150.0,5437189012.1666565,1787.0,322.0
13,MAGDALENA,2604552820.0,3861988.0,1449322781.0,923919851.0,525402930.0,2209874627.0,29672290.0,1298515694.0,815079256.0,483436438.0,40066000.0,939506393.0,472881000.0,10218.0,6008993842.785714,2884.0,553.0
14,META,281532368.0,1931509.0,103091863.0,78489969.0,24601894.0,260712796.0,-51281.0,96100346.0,73451167.0,22649179.0,349408000.0,918966081.0,642302000.0,7684.0,5997246548.916666,1276.0,249.0
15,NARIÃ‘O,2406506075.1800003,-69942431.24000001,578877470.99,1043394248.12,-464516777.15,2286769391.88,-419073856.0,605175048.54,994872047.1,-389696998.57,63980000.0,478603735.0,445961000.0,7155.0,4861787771.000004,1686.0,272.0
16,NORTE DE SANTANDER,851675656.0,12662903.0,362139685.0,238769710.0,123369975.0,604393933.0,7889952.0,278927890.0,163207337.0,115720553.0,32095000.0,1319941105.0,239678000.0,8003.0,3944782739.166667,2637.0,495.0
17,QUINDIO,195433408.0,4016866.0,117735978.0,91643897.0,26092081.0,172047988.0,291258.0,75920972.0,65437306.0,10483666.0,68418000.0,634891470.0,494398000.0,7459.0,5222821050.250008,1227.0,215.0
18,RISARALDA,5077554122.0,33014784.0,3760277794.0,2565608841.0,1194668953.0,4506119987.0,89452063.0,3242321560.0,2084866099.0,1157455461.0,64063490.0,774140098.0,580457000.0,7875.0,6051059192.749994,996.0,83.0
20,SANTANDER,7507696606.42,276550669.81,7379500599.040001,4212346117.92,3167154481.13,6669278236.61,382959314.78999996,6982487151.860001,3977098139.1800003,3005389012.6800003,91513419.0,782876821.0,691656500.0,8033.0,6264920153.16667,1207.0,171.0
21,SUCRE,138515070.0,2425068.0,21136907.0,17864292.0,3272615.0,69234745.0,1300843.0,10944209.0,7166032.0,3778177.0,30874697.0,848735876.0,286800000.0,9445.0,5039378090.416667,2892.0,266.0
22,TOLIMA,320304961.0,7564247.0,263001314.0,142996992.0,120004322.0,300316673.0,8328870.0,255667924.0,143720737.0,111947187.0,77536000.0,941152556.0,488980000.0,7421.0,4983758791.916668,1146.0,231.0
23,VALLE,44596633203.03,1629595136.0400002,47154539912.13,26811814073.959995,20342725838.18,42267766516.72,622194613.53,43925480188.94,23883434699.019997,20042045489.93,71510800.0,795727556.0,692683600.0,9152.0,7562891179.500009,1388.0,342.0
